4002,202003,1585246226016
12388,202003,1585246174730
3968,201712,1514489592000
10002,202003,1585245632112
5498,201712,1514302128000
414,201711,1511813955000
11675,202003,1585245702187
12475,202003,1585246196934
11021,202002,1582784960218
4257,201712,1514489592000
10057,202003,1585136071409
12269,202003,1585246193774
10702,202002,1582784960218
3837,201712,1514489592000
11023,202002,1582784960218
3867,201712,1514489592000
12195,202003,1585246184271
11258,202003,1585246219421
4675,202003,1585246105720
11706,202003,1585245702184
2630,201712,1512677391000
10296,202003,1585246219413
12161,202003,1585246165108
322,202003,1585245619977
12187,202003,1585246193774
505,202003,1585245577265
590,202003,1585245577265
11451,202002,1582784960218
13182,202003,1585246103635
2534,201712,1512677391000
470,202003,1585245592770
12105,202003,1585246132616
4054,202003,1585246230470
14061,202003,1585200401501
4225,201712,1514489592000
10409,202002,1582784960218
5782,201711,1511722913000
11928,202003,1585246174720
5182,201712,1514489592000
11414,202002,1582784960218
10862,202002,1582784960218
2109,201712,1512677391000
13192,202003,1585246196989
13093,202003,1585246248306
12394,202003,1585246174730
1706,201712,1514601335000
10551,202002,1582784960218
10505,202002,1582784960218
4101,202003,1585246195782
10203,202002,1582784960218
4757,201712,1514489593000
4241,201711,1511207696000
14027,202003,1585246226188
4697,201712,1514489592000
13201,202003,1585246196989
10620,202002,1582784960218
11745,202003,1585245626003
12969,202003,1585246248254
7950,202003,1585246384911
5328,202003,1585246131578
13825,202003,1585246248297
2458,201712,1512677391000
3502,201712,1514489592000
1281,202002,1583008246713
12421,202003,1585246168213
6382,201711,1511726519000
4715,201712,1514489592000
6363,201712,1514305700000
3851,201712,1514489592000
2203,201709,1506310835000
11473,202002,1582784960218
4792,201712,1514489592000
10717,202002,1582784960218
12994,202003,1585246248254
4485,201712,1514489592000
8621,201712,1514305730000
706,202003,1585245607328
3813,201712,1514489592000
9862,202003,1583409820969
2150,201712,1512677391000
4253,201712,1514489592000
3729,202003,1585246136001
3664,202003,1585246199360
4720,201712,1514489592000
11257,202003,1585246219421
4301,201712,1514489592000
11750,202003,1585245656456
10049,202003,1585245656472
3586,201711,1511471157000
908,201712,1514485840000
17127,202003,1585210947296
3482,201712,1514489592000
4078,201712,1514489592000
3713,201712,1514489592000
10830,202002,1582784960218
13299,202003,1585246248429
11885,202003,1585246135699
4272,201712,1514489592000
13280,202002,1581652132809
12534,202003,1585246135844
3528,201711,1511474754000
8514,202003,1585246384911
3514,202003,1585246195891
5275,201712,1514489592000
10808,202002,1582784960218
4452,201712,1514489592000
12209,202003,1585246132563
13077,202003,1585246248402
3796,201712,1514489592000
9963,202003,1585245624237
11588,202003,1585237534795
13212,202003,1585246168231
2082,202003,1585245656440
10515,202002,1582784960218
12176,202003,1585246132563
127,202003,1585245649971
10753,202002,1582784960218
12375,202003,1585246168231
4183,201712,1514489592000
14040,202003,1585246226188
13020,202003,1585246248345
10245,202002,1582784960218
2973,201712,1512677391000
3793,201712,1514489592000
9007,202003,1585245593275
2231,201712,1512677391000
4343,201711,1511916282000
10960,202002,1582784960218
11124,202003,1585246222474
934,201712,1514485840000
3762,201712,1514489592000
2530,202003,1585245624237
1005,201712,1514485840000
12056,202003,1585246193820
12488,202003,1585246196934
1380,201712,1514485531000
19199,202003,1584904653281
9995,202003,1585245686925
4572,202003,1585246136001
4704,201712,1514489592000
11517,202003,1585245702187
4666,201712,1514493150000
4039,202003,1585246199063
3044,201608,1471892729000
10241,202002,1582784960218
4112,202003,1585246197266
4714,201712,1514489592000
4764,202003,1585246105720
4778,201712,1514489592000
9984,202003,1585245656472
11172,202002,1582784960218
13343,201911,1573741623716
10998,202002,1582784960218
3081,201610,1476339103000
11936,202003,1585246135678
11751,202003,1585245656456
1675,201712,1514601335000
4144,201712,1514489592000
12077,202003,1585246200665
2854,201712,1512677391000
12089,202003,1585246193820
3774,202003,1585246143543
8543,201711,1511726519000
205,202003,1585245679976
13224,202003,1585246248429
10331,202003,1585246222885
4307,201711,1511474726000
1887,201712,1514601335000
4865,201808,1534741014082
10416,202002,1582784960218
13161,202003,1585246103635
12405,202003,1585246149108
11367,202003,1585246189365
5053,201712,1514489592000
4189,201712,1514489592000
548,202003,1585245577265
12809,202003,1585246248336
9884,202003,1585245624237
11403,202003,1585246189365
2025,201712,1514601335000
11325,202003,1585246222484
1645,202003,1585245710771
13625,202003,1585246248276
3924,202003,1585246132940
1789,201712,1514601335000
12004,202003,1585246193837
2343,201702,1487545694000
11662,202003,1585245879924
13635,202003,1585246248266
2573,201609,1472685076000
13576,202003,1585246248271
4466,201712,1514492479000
3978,201712,1514489592000
10009,202003,1585245656472
1933,201712,1514601335000
3523,201712,1514489592000
3670,201712,1514489592000
4510,201712,1514489592000
4889,201712,1514489592000
12066,202003,1585246193820
2215,201712,1512677391000
103,202003,1585245620050
2478,201712,1513623232000
4828,201712,1514489592000
4041,201711,1511474741000
10648,202002,1582784960218
13780,202003,1585246248266
8368,201705,1495161979000
435,202003,1585245577370
3593,201712,1514489592000
4044,201711,1511207696000
11075,202003,1585246219421
10081,202003,1585246189235
2283,201712,1512677391000
4774,202003,1585246105657
711,202003,1585245577265
9903,202003,1585245624237
5453,201609,1474512439000
4826,201712,1514489592000
3522,201711,1511207696000
10043,202003,1585245624237
